well_id,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,state,precip_gini,recharge_gini,kuma_a,kuma_b,lat,lon,nlcd_code,landcover,landcover_simple,n_events,total_precip_mm,total_recharge_mm,recharge_efficiency
404934074400501,14,269.561706543,2.411663096522437,17.8,41.4,40.8,New Jersey,0.4838441980000736,0.6969586323656495,1.1337625363992023,0.8647729260613848,40.8178774,-74.6809948,41,Deciduous Forest,Forest,1082,26075.010000000002,84098.36656996376,3.225247720708976
405027074232301,0,57.928474426,3.13447606192695,22.3,30.5,47.2,New Jersey,0.4803784163509011,0.5995700999082687,0.7969067615919119,0.9133858432578754,40.8409329,-74.3893185,90,Woody Wetlands,Wetland,715,15805.08,20800.373742579482,1.3160562137350449
405414074354201,-10,203.473312378,6.411722618434783,,,,New Jersey,0.4661482244782454,0.5915806845745305,1.015957072030662,0.910182752959542,40.90370996,-74.5921035,22,"Developed, Low Intensity",Developed,811,21522.59,114930.27079465796,5.339983282432921
405531074361901,-12,222.640335083,3.594105527430993,20.1,41.2,38.7,New Jersey,0.4912689942416919,0.6267443872775957,0.9882179865592078,0.8243292966524614,40.92537639,-74.6048819,41,Deciduous Forest,Forest,1269,29336.2,72300.12985121894,2.464536301607534
405613074430901,-6,224.681991577,4.043218782608696,17.9,41.3,40.8,New Jersey,0.4792434263773881,0.6217937868312782,1.0676838243957971,0.8904290750982473,40.9370428,-74.7187745,41,Deciduous Forest,Forest,1356,32044.940000000002,153512.78094237339,4.7905466804548045
405808074583001,-9,140.967590332,1.6011096473285944,16.2,36.9,46.9,New Jersey,0.4710539242197131,0.6688664697648777,1.0879333373777245,0.8095203691077565,40.96898645,-74.9746172,41,Deciduous Forest,Forest,610,13275.19,35113.909870290845,2.6450777631273708
410155074060201,-12,40.650016785,0.5202697406373917,,,,New Jersey,0.4502400130681869,0.5228020120006636,0.9448123364594868,0.9824899735199784,41.03204145,-74.10014209,23,"Developed, Medium Intensity",Developed,181,6618.24,42451.093943606975,6.414257256250449
410207074270001,-20,230.183288574,1.3413128760727775,14.8,41.9,43.2,New Jersey,0.487400603346657,0.6058585124854189,1.0748681500279236,0.9670003765507292,41.03537519,-74.4495994,90,Woody Wetlands,Wetland,1404,32577.37,92302.4298231893,2.8333296955275795
410449074483301,0,160.528671265,6.996846499426738,21.5,35.3,43.2,New Jersey,0.4741720370976932,0.7533876359541111,1.0457172626184217,0.7189332457202572,41.08037446,-74.8098893,43,Mixed Forest,Forest,913,17019.989999999998,45754.39978084166,2.6882741870495614
410538080280801,7,318.700836182,5.092691958706126,24.6,26.0,49.4,Pennsylvania,0.4721781821299605,0.7077069619973967,1.2384988427971102,0.908731885317019,41.09369444,-80.4686944,41,Deciduous Forest,Forest,1192,22932.04,104335.31495361301,4.549761597904635
410804074424401,-1,161.545654297,9.901698984002763,22.6,32.6,44.8,New Jersey,0.4838121156534393,0.6420150270140219,0.7742017478814673,0.8242232259270598,41.13454085,-74.7118307,24,"Developed, High Intensity",Developed,1613,35045.69,39953.0769161438,1.14002825785835
410914074540401,9,145.347839355,5.677769837578528,17.7,38.0,44.4,New Jersey,0.4896423641231757,0.8138931929567963,1.4149651114534556,0.7607625752400977,41.1539843,-74.8840582,21,"Developed, Open Space",Developed,1043,19481.66,74546.20619988134,3.8264812238731887
410928074522801,-26,125.853530884,7.803341044994767,18.2,38.7,43.0,New Jersey,0.4888877027869501,0.6656232903836707,1.1614909549789965,0.9527154240144764,41.1578732,-74.8740579,21,"Developed, Open Space",Developed,751,17875.82,53287.785353047926,2.9809980942439522
411223075234901,-1,604.985473633,3.3739885781088823,14.4,46.5,39.1,Pennsylvania,0.498005303327345,0.6702329991237463,1.2606833134408229,1.064123528021596,41.20669444,-75.3966111,22,"Developed, Low Intensity",Developed,1163,30786.25,157661.6421971447,5.1211707238505735
411756076162701,-27,388.191101074,9.967451806653528,19.6,34.9,45.5,Pennsylvania,0.4768788834101887,0.7137503499565923,1.123635175820425,0.7782943621018545,41.29941667,-76.2745,43,Mixed Forest,Forest,1138,24292.35,100961.89106350688,4.156118739582909
411832072325501,14,62.85918808,1.519541392857143,8.6,51.7,39.7,Connecticut,0.4789538753300562,0.6428003787028864,1.4086004134886705,1.2818070020334291,41.30890556,-72.5480694,22,"Developed, Low Intensity",Developed,304,6815.630000000001,37703.20748666396,5.531874160813301
