well_id,lat_x,lon_x,n_events_x,precip_gini,recharge_gini,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,lat_y,lon_y,state,n_events_y,total_precip_mm,total_recharge_mm
402207076180801,40.36875,-76.3017222,1175,0.3570825515567543,0.6004454647040467,-4,135.216842651,2.6483181024702653,,,,40.36875,-76.3017222,Pennsylvania,1175,36984.32,199007.50034079698
402255076422001,40.382,-76.70575,702,0.3651050351889922,0.46437757043212846,-3,154.152114868,3.751097220799582,23.5,33.5,43.0,40.382,-76.70575,Pennsylvania,702,23111.879999999997,441475.4451993591
402411077374801,40.40302778,-77.62988889,812,0.33091379040554436,0.5251892505482811,-10,193.173431396,4.060342073836276,25.1,24.2,50.7,40.40302778,-77.62988889,Pennsylvania,812,23490.23,112716.31319080325
402512074414301,40.4201055,-74.694882,271,0.3378620602862974,0.5244899922061536,-2,32.302829742,5.358939742786481,19.3,34.0,46.7,40.4201055,-74.694882,New Jersey,271,7923.18,243441.51468247484
402553074271701,40.43205038,-74.4548742,735,0.34815199313045375,0.606500082269972,0,21.9400177,4.776562660187436,17.4,37.2,45.4,40.43205038,-74.4548742,New Jersey,735,23156.29,25661.39717595048
402615075530501,40.4374722,-75.88425,996,0.34854801679637915,0.6671582555297575,-9,132.42414856,40.63464843756449,,,,40.4374722,-75.88425,Pennsylvania,996,30949.25,191212.74134134784
402735077100901,40.46044444,-77.1686944,761,0.3463768733306467,0.4870845257892824,-19,156.648269653,3.7897381107011077,24.0,29.7,46.2,40.46044444,-77.1686944,Pennsylvania,761,22400.77,247967.7134954136
402750078452201,40.4625833,-78.7590556,546,0.3380125132437315,0.36375757883816573,1,650.75994873,2.2576590612027676,23.3,41.8,35.0,40.4625833,-78.7590556,Pennsylvania,546,15634.6,167197.3205358003
403200074420601,40.53325,-74.7018056,365,0.35146189165881336,0.5901672388456505,-4,19.930515289,2.4532766979975484,23.5,30.6,45.9,40.53325,-74.7018056,New Jersey,365,11043.39,72306.19825381089
403455074514801,40.57732477,-74.86044348,1069,0.3545448690418651,0.3867973679311625,-7,51.941734314,3.0805898851839113,22.0,31.9,46.1,40.57732477,-74.86044348,New Jersey,1069,33657.39,94019.88432894439
403719075091801,40.6220448,-75.1546189,692,0.36123380339546807,0.5598756289949935,-27,53.602737427,2.039279633881975,13.6,37.2,49.3,40.6220448,-75.1546189,New Jersey,692,22403.04,116908.30282084731
403734080063001,40.62619444,-80.10838889,1175,0.3181356607834682,0.4232770019651221,-19,313.262908936,2.0403130389852207,28.3,12.5,59.2,40.62619444,-80.10838889,Pennsylvania,1175,31219.75,142622.17841808396
403939076591001,40.6612222,-76.9855556,947,0.3553283236819881,0.7164325172661683,19,222.266464233,5.683516662245598,20.3,28.9,50.8,40.6612222,-76.9855556,Pennsylvania,947,29983.03,160950.83315756478
404140077354001,40.69477778,-77.5939444,559,0.31604051379677556,0.6834001716816945,0,244.798294067,16.1498576757691,,,,40.69477778,-77.5939444,Pennsylvania,559,15420.779999999999,652309.7314808387
404239076362001,40.71080556,-76.6054722,1000,0.3542451091199036,0.5456668681401511,7,288.22479248,6.163286394485929,20.4,29.0,50.6,40.71080556,-76.6054722,Pennsylvania,1000,31692.66,503629.00170318474
404518077575501,40.75544444,-77.96625,459,0.31693675612990946,0.6882141999249003,-17,349.219665527,20.4721230953963,14.5,47.7,37.8,40.75544444,-77.96625,Pennsylvania,459,12175.68,19167.63970997955
404556077525101,40.76563889,-77.8806944,724,0.3242489603057337,0.6281622471559124,0,372.260955811,28.514203794392525,33.2,28.1,38.8,40.76563889,-77.8806944,Pennsylvania,724,19101.57,489129.7387965631
404639074230001,40.7776003,-74.3829292,489,0.3585700634762704,0.37516823929288345,-1,60.690597534,13.26352942339833,,,,40.7776003,-74.3829292,New Jersey,489,15443.08,61144.62128626064
404708076070701,40.78575,-76.1184722,967,0.3599509195385243,0.6113297171892724,-46,387.671142578,14.859103948729686,12.3,49.5,38.2,40.78575,-76.1184722,Pennsylvania,967,31990.43,676036.9483938038
404934074400501,40.8178774,-74.6809948,760,0.3622183517992146,0.6338583590849035,14,269.561706543,2.4116630965224375,17.8,41.4,40.8,40.8178774,-74.6809948,New Jersey,760,25337.53,103030.71608950959
405027074232301,40.8409329,-74.3893185,465,0.3520056525550215,0.5960188984528385,0,57.928474426,3.13447606192695,22.3,30.5,47.2,40.8409329,-74.3893185,New Jersey,465,14493.17,20609.487618358486
405414074354201,40.90370996,-74.5921035,665,0.3691976571121164,0.4954819593784763,-10,203.473312378,6.411722618434783,,,,40.90370996,-74.5921035,New Jersey,665,21810.329999999998,133957.09490660214
405531074361901,40.92537639,-74.6048819,805,0.36194530798195423,0.5363341016602318,-12,222.640335083,3.5941055274309934,20.1,41.2,38.7,40.92537639,-74.6048819,New Jersey,805,26691.510000000002,66612.57537149126
405613074430901,40.9370428,-74.7187745,942,0.35750240888579854,0.5261063409478203,-6,224.681991577,4.043218782608696,17.9,41.3,40.8,40.9370428,-74.7187745,New Jersey,942,30445.73,161024.1445294516
405808074583001,40.96898645,-74.9746172,388,0.3369733813026562,0.5752149749258201,-9,140.967590332,1.6011096473285944,16.2,36.9,46.9,40.96898645,-74.9746172,New Jersey,388,12033.119999999999,33422.6530478926
410155074060201,41.03204145,-74.10014209,427,0.35074665054622234,0.33308517766038037,-12,40.650016785,0.5202697406373917,,,,41.03204145,-74.10014209,New Jersey,427,13571.490000000002,198227.62379880354
410207074270001,41.03537519,-74.4495994,907,0.3610526787074615,0.50100392521783,-20,230.183288574,1.3413128760727775,14.8,41.9,43.2,41.03537519,-74.4495994,New Jersey,907,29762.399999999998,85863.58516372692
410449074483301,41.08037446,-74.8098893,739,0.3658393953536163,0.7267394222373977,0,160.528671265,6.996846499426738,21.5,35.3,43.2,41.08037446,-74.8098893,New Jersey,739,23543.4,235796.25758388062
410538080280801,41.09369444,-80.4686944,840,0.32312198317645413,0.573102949275742,7,318.700836182,5.092691958706126,24.6,26.0,49.4,41.09369444,-80.4686944,Pennsylvania,840,22911.2,140590.65781662415
410804074424401,41.13454085,-74.7118307,1014,0.35617627079542535,0.584587885920739,-1,161.545654297,9.901698984002763,22.6,32.6,44.8,41.13454085,-74.7118307,New Jersey,1014,31627.410000000003,34231.51374122357
410914074540401,41.1539843,-74.8840582,824,0.3615798333333785,0.6615900057500097,9,145.347839355,5.677769837578528,17.7,38.0,44.4,41.1539843,-74.8840582,New Jersey,824,26397.98,260086.78063967876
